cnpj,placa,nu_linha,data_inicio_viagem,data_fim_viagem,sentido_linha,latitude,longitude,municipio_origem,municipio_destino
1751730000197,QBX7226,2001600,2020-01-01 06:57:47,2020-03-01 18:44:20,0,-15.888755,-52.305592,MARABA(PA) , BARRA DO GARCAS(MT)
1751730000197,QBP4795,12012300,2020-01-01 07:36:21,2020-01-01 14:41:42,0,-15.878747,-52.294509,GOIANIA(GO) , BARRA DO GARCAS(MT)
1751730000197,OSQ7693,2001600,2020-01-01 19:14:35,2020-01-01 19:22:57,1,-15.88866,-52.30532,MARABA(PA) , BARRA DO GARCAS(MT)
18449504000159,OOE1870,11000661,2020-01-02 05:55:16,2020-01-02 06:23:15,1,-15.879035949707,-52.295036315918,BARRA DO GARCAS(MT) , SAO PAULO(SP)
1751730000197,QBT6006,12012300,2020-01-02 07:09:48,2020-01-02 17:11:48,0,-15.888532,-52.305316,GOIANIA(GO) , BARRA DO GARCAS(MT)
1751730000197,QBT5876,12012300,2020-01-02 11:54:36,2020-01-02 21:02:01,0,-15.88881,-52.265919,GOIANIA(GO) , BARRA DO GARCAS(MT)
1561646000100,HZA4918,12017000,2020-01-02 12:04:07,2020-01-02 15:38:14,1,-15.8770236968994,-52.3166961669922,JUSSARA(GO) , BARRA DO GARCAS(MT)
1751730000197,QBP4795,2001600,2020-01-02 18:24:18,2020-01-02 18:27:22,1,-15.888621,-52.305344,MARABA(PA) , BARRA DO GARCAS(MT)
1751730000197,QBR6328,2001600,2020-01-03 06:59:04,2020-02-03 08:04:27,0,-15.878823,-52.295026,MARABA(PA) , BARRA DO GARCAS(MT)
1751730000197,QBP4795,12012300,2020-01-03 07:35:26,2020-01-03 18:32:26,0,-15.888593,-52.305327,GOIANIA(GO) , BARRA DO GARCAS(MT)
1751730000197,QBY1728,12012300,2020-01-03 13:07:03,2020-01-03 22:31:10,0,-15.878535,-52.294949,GOIANIA(GO) , BARRA DO GARCAS(MT)
1526219000191,PQU9782,12015961,2020-01-08 10:16:24,2020-01-08 15:29:37,1,-15.87898408,-52.29476668,SAO LUIS DE MONTES BELOS(GO) , BARRA DO GARCAS(MT)
1526219000191,PQU9752,12015961,2020-01-08 14:08:40,2020-01-08 18:41:55,1,-15.87878935,-52.29485005,SAO LUIS DE MONTES BELOS(GO) , BARRA DO GARCAS(MT)
1561646000100,PQW6791,12017000,2020-01-08 15:57:59,2020-01-08 19:35:36,1,-15.878870010376,-52.2947616577148,JUSSARA(GO) , BARRA DO GARCAS(MT)
1526219000191,NYV6986,12015961,2020-01-08 22:21:26,2020-02-08 02:40:38,1,-15.87886616,-52.29489914,SAO LUIS DE MONTES BELOS(GO) , BARRA DO GARCAS(MT)
1526219000191,OGW0763,12015961,2020-01-09 10:23:39,2020-01-09 15:11:55,1,-15.87881115,-52.29487243,SAO LUIS DE MONTES BELOS(GO) , BARRA DO GARCAS(MT)
1526219000191,PQU9782,12015961,2020-01-09 14:26:07,2020-01-09 18:46:34,1,-15.8783815,-52.2951097,SAO LUIS DE MONTES BELOS(GO) , BARRA DO GARCAS(MT)
1526219000191,PQU9842,12015961,2020-01-09 22:59:27,2020-02-09 04:00:37,1,-15.89445852,-52.25760606,SAO LUIS DE MONTES BELOS(GO) , BARRA DO GARCAS(MT)
1526219000191,PQU9672,12015961,2020-01-10 01:24:01,2020-01-10 05:29:21,1,-15.89399434,-52.25795732,SAO LUIS DE MONTES BELOS(GO) , BARRA DO GARCAS(MT)
1561646000100,PQW6791,12017061,2020-01-10 15:29:45,2020-01-10 20:36:52,1,-15.8809432983398,-52.2949523925781,JUSSARA(GO) , BARRA DO GARCAS(MT)
1526219000191,PQU9702,12015961,2020-01-10 18:23:00,2020-02-10 00:12:30,1,-15.87845215,-52.294874,SAO LUIS DE MONTES BELOS(GO) , BARRA DO GARCAS(MT)
3143492000162,NJQ9150,12014100,2020-01-11 06:22:05,2020-02-11 01:56:02,0,-15.898096,-52.2628911,BRASILIA(DF) , VILA RICA(MT)
1526219000191,PKL1396,12015961,2020-01-11 16:35:30,2020-01-11 21:36:50,1,-15.87851215,-52.29499563,SAO LUIS DE MONTES BELOS(GO) , BARRA DO GARCAS(MT)
3143492000162,QCC7020,12014161,2020-01-12 01:35:05,2020-01-12 14:45:01,1,-15.8791253,-52.2952411,BRASILIA(DF) , VILA RICA(MT)
1526219000191,OGW0843,12015961,2020-01-12 14:21:44,2020-01-12 19:52:21,1,-15.87885535,-52.29488128,SAO LUIS DE MONTES BELOS(GO) , BARRA DO GARCAS(MT)
1751730000197,QEC4779,2001600,2020-01-13 07:03:02,2020-01-14 15:44:38,0,-15.888665,-52.305388,MARABA(PA) , BARRA DO GARCAS(MT)
1751730000197,QBP4795,12012300,2020-01-13 08:08:39,2020-01-13 16:06:35,0,-15.879016,-52.294986,GOIANIA(GO) , BARRA DO GARCAS(MT)
1561646000100,PQE9888,12017000,2020-01-13 15:48:11,2020-01-13 19:30:37,1,-15.8768749237061,-52.3168106079102,JUSSARA(GO) , BARRA DO GARCAS(MT)
1751730000197,QBT5936,12012300,2020-01-14 07:06:58,2020-01-14 16:32:56,0,-15.88617,-52.305693,GOIANIA(GO) , BARRA DO GARCAS(MT)
1751730000197,QBX7406,2001600,2020-01-14 07:59:30,2020-01-15 14:02:09,0,-15.888703,-52.304615,MARABA(PA) , BARRA DO GARCAS(MT)
1751730000197,QBT5946,12012300,2020-01-14 12:00:36,2020-01-14 20:13:35,1,-15.888594,-52.305308,GOIANIA(GO) , BARRA DO GARCAS(MT)
1751730000197,QBR6328,2001600,2020-01-15 06:57:50,2020-01-16 07:44:01,0,-15.87911,-52.294774,MARABA(PA) , BARRA DO GARCAS(MT)
1751730000197,QBP5085,12012300,2020-01-15 07:30:34,2020-01-15 16:25:59,0,-15.888698,-52.305414,GOIANIA(GO) , BARRA DO GARCAS(MT)
55334262000184,GAT8570,12017761,2020-01-15 12:03:32,2020-01-17 04:43:50,0,-15.8885917663574,-52.3052711486816,BRASILIA(DF) , PORTO VELHO(RO)
1751730000197,QBT5876,12012300,2020-01-16 06:52:31,2020-01-16 14:49:34,0,-15.891048,-52.259604,GOIANIA(GO) , BARRA DO GARCAS(MT)
1751730000197,QEC4779,2001600,2020-01-16 07:03:43,2020-01-17 08:43:02,0,-15.879112,-52.295012,MARABA(PA) , BARRA DO GARCAS(MT)
1561646000100,OMZ0791,12017000,2020-01-16 11:16:51,2020-01-16 16:26:04,1,-15.8768930435181,-52.3168258666992,JUSSARA(GO) , BARRA DO GARCAS(MT)
1751730000197,QBT5946,12012300,2020-01-16 11:53:43,2020-01-16 20:07:45,0,-15.878806,-52.2948,GOIANIA(GO) , BARRA DO GARCAS(MT)
1561646000100,PQE9888,12017000,2020-01-16 15:06:48,2020-01-16 18:33:36,1,-15.8769121170044,-52.3166732788086,JUSSARA(GO) , BARRA DO GARCAS(MT)
1751730000197,QBY1728,12012300,2020-01-17 06:51:45,2020-01-17 16:36:31,0,-15.888576,-52.305376,GOIANIA(GO) , BARRA DO GARCAS(MT)
1751730000197,QBT6006,12012300,2020-01-17 12:35:05,2020-01-17 20:44:16,1,-15.87867,-52.295031,GOIANIA(GO) , BARRA DO GARCAS(MT)
1561646000100,PQE9888,12017000,2020-01-17 15:20:10,2020-01-17 18:34:43,1,-15.8769073486328,-52.31672668457031,JUSSARA(GO) , BARRA DO GARCAS(MT)
1751730000197,QBR6328,2001600,2020-01-18 07:01:44,2020-01-19 07:51:25,0,-15.878834,-52.294945,MARABA(PA) , BARRA DO GARCAS(MT)
1751730000197,QBT5876,12012300,2020-01-18 07:05:58,2020-01-18 16:17:58,0,-15.878837,-52.295047,GOIANIA(GO) , BARRA DO GARCAS(MT)
1561646000100,OMZ0791,12017000,2020-01-18 11:13:22,2020-01-18 15:01:27,1,-15.8768453598022,-52.3168182373047,JUSSARA(GO) , BARRA DO GARCAS(MT)
1751730000197,QBT5936,12012300,2020-01-18 13:07:22,2020-01-18 19:15:13,0,-15.878802,-52.294879,GOIANIA(GO) , BARRA DO GARCAS(MT)
1561646000100,PQE9888,12017000,2020-01-18 15:26:47,2020-01-18 18:47:37,1,-15.8768892288208,-52.31674957275391,JUSSARA(GO) , BARRA DO GARCAS(MT)
55334262000184,GBI6305,12017761,2020-01-19 02:44:36,2020-01-20 12:23:25,1,-15.8790130615234,-52.294929504394496,BRASILIA(DF) , PORTO VELHO(RO)
